spp_code,stories,below_crown_height,height,estimated_height,DBH
6543,over,,,769,6
6543,under,,,989,10
6543,over,,,1133,14
6543,over,,,1067,12
6543,under,,,769,6
6543,over,,,1133,14
6543,under,,,1067,12
22332,over,,,558,7
22332,over,,,514,6
22332,over,,,660,10
22332,over,,,712,12
22332,over,300,970,660,10
22332,over,270,1100,712,12
22332,over,,,630,9
22332,over,,,558,7
15003,over,,,1153,23
6543,over,210,1100,1241,18
6543,over,,,1287,20
6543,over,220,1300,1265,19
6543,over,,,1163,15
6543,under,,,836,7
6543,over,370,990,944,9
6543,over,,,1067,12
6543,over,700,1120,989,10
6543,over,,,1030,11
6543,over,450,1250,1133,14
6543,over,,,1133,14
6543,over,,,1102,13
6543,over,550,1210,989,10
6543,under,,,769,6
6543,over,,,1265,19
6543,under,,,1241,18
6543,under,,,1067,12
6543,under,,,989,10
6543,under,,,1163,15
6543,over,,,944,9
6543,under,,,1287,20
6543,over,270,960,1308,21
6543,under,,,1241,18
6543,under,,,893,8
6543,under,,,769,6
6505,over,,,650,7
1008,over,,,946,17
1008,over,,,905,15
2235,over,,,598,6
2235,over,,,598,6
2235,over,,,598,6
6505,over,,,734,9
6505,over,,,830,12
1008,over,,,926,16
6580,over,,,1243,21
6580,under,,,849,8
6580,over,,,1106,15
6580,over,430,1180,1157,17
6580,over,,,897,9
6580,over,,,1077,14
6580,over,,,940,10
6580,over,,,849,8
6580,over,,,1014,12
6580,over,,,1106,15
6580,over,,,1243,21
6580,over,,,1047,13
6580,over,,,1180,18
6580,over,,,1106,15
6580,over,,,897,9
6580,over,,,1077,14
6580,over,,,1077,14
6580,over,710,1270,979,11
6580,over,,,1280,23
6580,over,,,1223,20
6580,under,,,979,11
6580,over,,,1202,19
6580,over,,,1223,20
6543,over,,,851,9
6580,over,,,1157,17
6543,over,,,993,13
6505,over,,,946,17
6505,over,,,946,17
6543,over,,,993,13
6543,under,,,753,7
6543,over,,,805,8
6543,over,,,1049,15
6543,over,370,1280,1246,25
6543,over,,,928,11
6543,over,,,928,11
6543,under,,,694,6
6543,over,680,1070,753,7
6543,over,710,1250,962,12
6543,over,,,1097,17
6543,over,,,805,8
6543,over,,,962,12
6543,over,,,962,12
6543,over,,,805,8
6543,over,,,993,13
6543,over,,,993,13
6543,over,,,851,9
